,dire_name,dire_score,dire_team_id,duration,league_name,leagueid,match_id,radiant_name,radiant_score,radiant_team_id,radiant_win,series_id,series_type,start_time
90,Mavericks,35,2061104.0,2024,AEF Season 2,5491,3535043038,Yellow Solo Mid Reborn,16,4423784.0,False,174539.0,1.0,1509529111
91,Mavericks,18,2061104.0,1285,AEF Season 2,5491,3534965112,Yellow Solo Mid Reborn,13,4423784.0,False,174539.0,1.0,1509526795
92,iG.Vitality,29,2640025.0,2396,Dota 2 Professional League 2016,4920,3534958218,LGD.Forever Young,36,3331948.0,True,174533.0,1.0,1509526393
93,LGD.Forever Young,26,3331948.0,1972,Dota 2 Professional League 2016,4920,3534858895,iG.Vitality,19,2640025.0,True,174533.0,1.0,1509523091
94,LGD-GAMING,24,15.0,2469,Dota 2 Professional League 2016,4920,3534749496,LGD.Forever Young,52,3331948.0,True,174527.0,1.0,1509518999
95,LGD.Forever Young,20,3331948.0,1635,Dota 2 Professional League 2016,4920,3534655441,LGD-GAMING,28,15.0,True,174527.0,1.0,1509514863
96,Azure,43,5057627.0,2674,Acer Predator Dota 2 Online Tournament,4249,3534097645,RISE.XPD,33,3414631.0,False,0.0,0.0,1509477863
97,Team Kinguin,28,5039050.0,2504,WellPlay Invitational by VitalBet,4669,3534095591,PENTA Sports,26,3704482.0,True,174422.0,2.0,1509477939
98,Clavis Aurea,39,4647623.0,3332,ProDotA Cup Series,5562,3534072673,Helsinki REDS,36,5015830.0,False,174423.0,1.0,1509476626
99,PENTA Sports,35,3704482.0,1888,WellPlay Invitational by VitalBet,4669,3534027400,Team Kinguin,20,5039050.0,False,174422.0,2.0,1509474673
100,Azure,48,5057627.0,2969,Acer Predator Dota 2 Online Tournament,4249,3534005179,FullHouse Gaming,23,2232259.0,False,0.0,0.0,1509473482
101,Clavis Aurea,29,4647623.0,2599,ProDotA Cup Series,5562,3533986221,Helsinki REDS,15,5015830.0,False,174423.0,1.0,1509472637
102,FullHouse Gaming,25,2232259.0,2481,Acer Predator Dota 2 Online Tournament,4249,3533913930,RISE.XPD,41,3414631.0,True,0.0,0.0,1509469650
103,Clavis Aurea,17,4647623.0,2026,ProDotA Cup Series,5562,3533905036,Helsinki REDS,22,5015830.0,True,174423.0,1.0,1509469294
104,Team Kinguin,28,5039050.0,3717,WellPlay Invitational by VitalBet,4669,3533903005,PENTA Sports,35,3704482.0,True,174422.0,2.0,1509469361
105,RISE.XPD,22,3414631.0,1822,Acer Predator Dota 2 Online Tournament,4249,3533830366,FullHouse Gaming,37,2232259.0,True,0.0,0.0,1509466458
106,Gambit Esports,27,4425117.0,2192,ProDotA Cup Series,5562,3533718308,M19,13,4429098.0,False,174396.0,1.0,1509462561
107,Azure,33,5057627.0,2379,Acer Predator Dota 2 Online Tournament,4249,3533703564,RISE.XPD,49,3414631.0,True,0.0,0.0,1509462080
108,Gambit Esports,24,4425117.0,1945,ProDotA Cup Series,5562,3533610320,M19,12,4429098.0,False,174384.0,1.0,1509459222
109,Azure,38,5057627.0,2168,Acer Predator Dota 2 Online Tournament,4249,3533597701,PONCOLSQUAD,26,4108578.0,False,0.0,0.0,1509458842
110,warzone gaming,21,5105476.0,2651,Acer Predator Dota 2 Online Tournament,4249,3533590769,FullHouse Gaming,26,2232259.0,True,0.0,0.0,1509458636
111,Resonance E-sports,17,4991668.0,1755,Acer Predator Dota 2 Online Tournament,4249,3533511507,RISE.XPD,41,3414631.0,True,0.0,0.0,1509456280
112,GARASI MALAS,14,3760852.0,1338,Acer Predator Dota 2 Online Tournament,4249,3533504323,FullHouse Gaming,27,2232259.0,True,0.0,0.0,1509456068
113,Act As One,9,3893514.0,1331,Acer Predator Dota 2 Online Tournament,4249,3533490504,PONCOLSQUAD,32,4108578.0,True,0.0,0.0,1509455665
114,warzone gaming,32,5105476.0,1677,Acer Predator Dota 2 Online Tournament,4249,3533379080,Act As One,7,3893514.0,False,0.0,0.0,1509452215
115,ZeroEight,19,5095075.0,2621,Acer Predator Dota 2 Online Tournament,4249,3533372345,RISE.XPD,33,3414631.0,True,0.0,0.0,1509452002
116,Azure,41,5057627.0,1897,Acer Predator Dota 2 Online Tournament,4249,3533366520,AlwaysGrowUp,21,4481512.0,False,0.0,0.0,1509451809
117,Team Question,5,4917125.0,875,AEF Season 2,5491,3533179915,Greedy Goblins,22,4958284.0,True,174336.0,1.0,1509445042
118,Sweet Original Name,19,5041761.0,1945,AEF Season 2,5491,3533141091,Thunder Chickens,33,4914257.0,True,174337.0,1.0,1509443518
119,IM Ridiculously Strong,24,4997833.0,1397,AEF Season 2,5491,3533134062,Robot House,9,5047756.0,False,174338.0,1.0,1509443193
120,IM Ridiculously Strong,19,4997833.0,1387,AEF Season 2,5491,3533069089,Robot House,10,5047756.0,False,174338.0,1.0,1509440573
121,Thunder Chickens,33,4914257.0,1544,AEF Season 2,5491,3533065675,Sweet Original Name,8,5041761.0,False,174337.0,1.0,1509440393
